Neighborhood,Zone,Area,Population,Density,Homes_count,Full_Address,Location,Point,Latitude,Longitude,Altitude
Puraquequara,Leste,4055.69,6923,144.39,1758,"Puraquequara, Manaus, Amazonas","Puraquequara, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0544677, -59.8708343, 0.0)",-3.0544677,-59.8708343,0.0
Raiz,Sul,85.92,16694,16436.22,4061,"Raiz, Manaus, Amazonas","Raiz, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1267922, -59.998034, 0.0)",-3.1267922,-59.998034,0.0
Redenção,Centro-Oeste,300.16,41572,11715.75,9457,"Redenção, Manaus, Amazonas","Redenção, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0551095, -60.0435406, 0.0)",-3.0551095,-60.0435406,0.0
Santa Etelvina,Norte,669.45,31043,3922.62,7166,"Santa Etelvina, Manaus, Amazonas","Santa Etelvina, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-2.9931354, -60.0077385, 0.0)",-2.9931354,-60.0077385,0.0
Santa Luzia,Sul,27.39,7688,23742.24,1897,"Santa Luzia, Manaus, Amazonas","Santa Luzia, Iranduba, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil","(-3.2871583, -60.0764333, 0.0)",-3.2871583,-60.0764333,0.0
Santo Agostinho,Oeste,149.07,19616,11131.01,4663,"Santo Agostinho, Manaus, Amazonas","Santo Agostinho, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0890086, -60.0667605, 0.0)",-3.0890086,-60.0667605,0.0
Santo Antônio,Oeste,113.15,23356,17460.89,5617,"Santo Antônio, Manaus, Amazonas","Santo Antônio, Borba, Microrregião de Madeira, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil","(-4.3898035, -59.2181582, 0.0)",-4.3898035,-59.2181582,0.0
São Francisco,Sul,162.28,19889,10367.27,4474,"São Francisco, Manaus, Amazonas","São Francisco, Autazes, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, Brasil","(-3.3823923, -59.1343665, 0.0)",-3.3823923,-59.1343665,0.0
São Geraldo,Centro-Sul,104.5,8983,7271.77,2497,"São Geraldo, Manaus, Amazonas","São Geraldo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1110565, -60.0255175, 0.0)",-3.1110565,-60.0255175,0.0
São Jorge,Oeste,320.95,25585,6743.42,6461,"São Jorge, Manaus, Amazonas","São Jorge, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0989289, -60.0416888, 0.0)",-3.0989289,-60.0416888,0.0
São José Operário,Leste,543.1,78222,12183.58,17833,"São José Operário, Manaus, Amazonas","São José Operário, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0665071, -59.9457995, 0.0)",-3.0665071,-59.9457995,0.0
São Lázaro,Sul,81.73,14108,14601.74,3502,"São Lázaro, Manaus, Amazonas","São Lázaro, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1403933, -59.9939505, 0.0)",-3.1403933,-59.9939505,0.0
São Raimundo,Oeste,112.45,18199,13690.53,4356,"São Raimundo, Manaus, Amazonas","São Raimundo, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1214659, -60.0415938, 0.0)",-3.1214659,-60.0415938,0.0
Tancredo Neves,Leste,304.64,57728,16029.74,12853,"Tancredo Neves, Manaus, Amazonas","Tancredo Neves, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0532234, -59.9389195, 0.0)",-3.0532234,-59.9389195,0.0
Tarumã,Oeste,3928.07,33168,714.27,8912,"Tarumã, Manaus, Amazonas","Tarumã, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.0246626, -60.0513153, 0.0)",-3.0246626,-60.0513153,0.0
Tarumã-Açu,Oeste,4807.05,14249,250.74,3914,"Tarumã-Açu, Manaus, Amazonas","Tarumã-Açú, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-2.9762708, -60.0702231, 0.0)",-2.9762708,-60.0702231,0.0
Vila Buriti,Sul,1004.96,216,181.8,616,"Vila Buriti, Manaus, Amazonas","Vila Buriti, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1438153, -59.9716197, 0.0)",-3.1438153,-59.9716197,0.0
Vila da Prata,Oeste,66.13,13052,16695.9,2933,"Vila da Prata, Manaus, Amazonas","Vila da Prata, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.1083929, -60.0466828, 0.0)",-3.1083929,-60.0466828,0.0
Zumbi dos Palmares,Leste,251.05,41563,14004.78,8853,"Zumbi dos Palmares, Manaus, Amazonas","Zumbi dos Palmares, Manaus, Microrregião de Manaus, Região Geográfica Intermediária de Manaus, Amazonas, Região Norte, 69000-000, Brasil","(-3.074979, -59.9463199, 0.0)",-3.074979,-59.9463199,0.0
